_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan
67d7c109380fe7c6439d4d8c,1Z7E524X0494492367,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-13T17:37:55,shipment manifested,2025-01-14T13:08:16,shipment collected,2025-01-14T18:14:20,in transit,2025-01-15T19:48:32,export scan,2025-01-15T20:55:00,in transit,2025-01-16T05:57:00,in transit,2025-01-17T15:53:45,in transit,2025-01-17T17:07:41,out for delivery,2025-01-17T19:14:00,delivery scheduled for a future date,2025-01-17T19:14:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d6551,1Z61A84F0405163780,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-14T22:42:00,in transit,2025-01-14T23:55:00,in transit,2025-01-14T23:55:00,in transit,2025-01-15T03:00:00,in transit,2025-01-15T03:59:00,in transit,2025-01-15T09:45:00,in transit,2025-01-18T19:00:00,in transit,2025-01-19T12:16:28,in transit,2025-01-19T12:16:28,in transit,2025-01-19T14:45:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d734e,1Z61A84F0414982100,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-29T02:07:01,shipment manifested,2024-12-30T10:45:55,shipment collected,2024-12-30T17:00:35,in transit,2024-12-30T17:57:00,in transit,2024-12-30T20:50:00,in transit,2024-12-30T21:20:48,export scan,2024-12-30T22:30:00,in transit,2024-12-30T23:43:00,in transit,2025-01-02T15:45:00,in transit,2025-01-03T15:09:44,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d7e88,1Z7E524X0497572819,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-07T12:25:26,shipment manifested,2025-01-08T16:13:01,shipment collected,2025-01-08T21:01:44,in transit,2025-01-08T21:01:45,export scan,2025-01-09T04:28:00,in transit,2025-01-09T11:40:00,in transit,2025-01-10T06:12:30,in transit,2025-01-10T12:30:00,delay due to adverse weather conditions,2025-01-10T21:55:00,in transit,2025-01-10T23:00:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d9c14,1Z61A84F0405163780,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-14T22:42:00,in transit,2025-01-14T23:55:00,in transit,2025-01-14T23:55:00,in transit,2025-01-15T03:00:00,in transit,2025-01-15T03:59:00,in transit,2025-01-15T09:45:00,in transit,2025-01-18T19:00:00,in transit,2025-01-19T12:16:28,in transit,2025-01-19T12:16:28,in transit,2025-01-19T14:45:00,delivery scheduled for a future date,2025-01-19T14:45:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439daf4c,1Z61A84F0438580937,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-15T20:32:10,shipment manifested,2025-01-16T16:20:32,shipment collected,2025-01-16T18:03:23,in transit,2025-01-16T19:26:00,in transit,2025-01-16T19:59:00,in transit,2025-01-16T20:50:45,export scan,2025-01-16T22:20:00,in transit,2025-01-16T23:44:00,in transit,2025-01-17T14:38:00,in transit,2025-01-17T14:53:00,delay due to flight cancelled or delayed,2025-01-17T20:49:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439db14f,1Z7E524X0497572819,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-07T12:25:26,shipment manifested,2025-01-08T16:13:01,shipment collected,2025-01-08T21:01:44,in transit,2025-01-08T21:01:45,export scan,2025-01-09T04:28:00,in transit,2025-01-09T11:40:00,in transit,2025-01-10T06:12:30,in transit,2025-01-10T12:30:00,delay due to adverse weather conditions,2025-01-10T21:55:00,in transit,2025-01-10T23:00:00,delivery scheduled for a future date,2025-01-10T23:00:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439dc7c1,1Z7E524X0496262610,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-14T10:06:50,shipment manifested,2025-01-15T12:21:55,shipment collected,2025-01-15T18:34:22,in transit,2025-01-15T19:40:00,in transit,2025-01-15T20:39:00,in transit,2025-01-15T21:14:18,export scan,2025-01-16T20:45:00,in transit,2025-01-17T05:33:00,in transit,2025-01-17T07:36:44,in transit,2025-01-17T09:31:05,warehouse scan,2025-01-17T12:30:00,delayed due to circumstances beyond our control - corrective action underway,2025-01-17T19:14:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439dca70,1Z7E524X0496072950,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-16T09:40:53,shipment manifested,2024-12-16T10:16:00,shipment dropped off awaiting carrier collection,2024-12-16T10:16:47,shipment dropped off awaiting carrier collection,2024-12-16T18:36:01,shipment collected,2024-12-16T20:16:01,in transit,2024-12-16T20:21:00,in transit,2024-12-16T21:40:00,in transit,2024-12-16T22:07:59,export scan,2024-12-16T22:53:00,in transit,2024-12-16T23:57:00,in transit,2024-12-21T21:00:00,in transit,2024-12-22T11:14:28,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439ddb7a,1Z7E524X0495836645,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-08T13:29:19,shipment manifested,2025-01-09T10:20:24,shipment collected,2025-01-09T17:35:13,in transit,2025-01-09T18:45:00,in transit,2025-01-09T20:45:00,in transit,2025-01-09T21:02:07,export scan,2025-01-09T22:33:00,in transit,2025-01-09T23:51:00,in transit,2025-01-10T14:18:00,in transit,2025-01-10T14:58:00,delay due to adverse weather conditions,2025-01-10T15:40:00,in transit,2025-01-11T00:08:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439ddc1c,1Z61A84F0416240809,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-02T11:28:38,shipment manifested,2025-01-02T13:34:00,shipment dropped off awaiting carrier collection,2025-01-02T13:34:14,shipment dropped off awaiting carrier collection,2025-01-03T14:27:16,shipment collected,2025-01-03T17:55:09,in transit,2025-01-03T18:50:00,in transit,2025-01-03T20:10:00,in transit,2025-01-03T20:29:19,export scan,2025-01-03T22:36:00,in transit,2025-01-03T23:41:00,in transit,2025-01-04T22:30:00,in transit,2025-01-05T12:53:09,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439ddd90,1Z61A84F0438580937,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-15T20:32:10,shipment manifested,2025-01-16T16:20:32,shipment collected,2025-01-16T18:03:23,in transit,2025-01-16T19:26:00,in transit,2025-01-16T19:59:00,in transit,2025-01-16T20:50:45,export scan,2025-01-16T22:20:00,in transit,2025-01-16T23:44:00,in transit,2025-01-17T14:38:00,in transit,2025-01-17T14:53:00,delay due to flight cancelled or delayed,2025-01-17T20:49:00,delivery scheduled for a future date,2025-01-17T20:49:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439def7c,1Z61A84F0403437023,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-09T11:13:11,shipment manifested,2025-01-09T11:55:00,shipment dropped off awaiting carrier collection,2025-01-09T11:55:07,shipment dropped off awaiting carrier collection,2025-01-09T12:34:06,shipment collected,2025-01-09T16:12:54,in transit,2025-01-09T18:58:00,in transit,2025-01-09T21:18:00,in transit,2025-01-09T21:52:10,export scan,2025-01-09T22:53:00,in transit,2025-01-09T23:56:00,in transit,2025-01-10T14:18:00,in transit,2025-01-10T14:58:00,delay due to adverse weather conditions,2025-01-11T00:06:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439df2c2,1Z7E524X0496262610,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-14T10:06:50,shipment manifested,2025-01-15T12:21:55,shipment collected,2025-01-15T18:34:22,in transit,2025-01-15T19:40:00,in transit,2025-01-15T20:39:00,in transit,2025-01-15T21:14:18,export scan,2025-01-16T20:45:00,in transit,2025-01-17T05:33:00,in transit,2025-01-17T07:36:44,in transit,2025-01-17T09:31:05,warehouse scan,2025-01-17T12:30:00,delayed due to circumstances beyond our control - corrective action underway,2025-01-17T19:14:00,delivery scheduled for a future date,2025-01-17T19:14:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439df5ca,1Z7E524X0499728862,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-08T13:44:38,shipment manifested,2025-01-09T12:59:00,shipment dropped off awaiting carrier collection,2025-01-09T12:59:14,shipment dropped off awaiting carrier collection,2025-01-09T14:10:42,shipment collected,2025-01-09T18:02:41,in transit,2025-01-09T19:15:00,in transit,2025-01-09T21:20:00,in transit,2025-01-09T21:35:52,export scan,2025-01-09T22:33:00,in transit,2025-01-09T23:51:00,in transit,2025-01-10T14:18:00,in transit,2025-01-10T14:58:00,delay due to adverse weather conditions,2025-01-11T00:06:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439dfe21,1Z61A84F0420978309,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-09T09:17:56,shipment manifested,2025-01-09T10:57:00,shipment dropped off awaiting carrier collection,2025-01-09T10:57:10,shipment dropped off awaiting carrier collection,2025-01-09T11:42:32,shipment collected,2025-01-09T17:34:23,in transit,2025-01-09T19:02:00,in transit,2025-01-09T20:55:00,in transit,2025-01-09T21:13:20,export scan,2025-01-09T22:53:00,in transit,2025-01-09T23:56:00,in transit,2025-01-10T14:25:00,in transit,2025-01-10T14:58:00,delay due to adverse weather conditions,2025-01-11T00:06:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e044c,1Z7E524X0495836645,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-08T13:29:19,shipment manifested,2025-01-09T10:20:24,shipment collected,2025-01-09T17:35:13,in transit,2025-01-09T18:45:00,in transit,2025-01-09T20:45:00,in transit,2025-01-09T21:02:07,export scan,2025-01-09T22:33:00,in transit,2025-01-09T23:51:00,in transit,2025-01-10T14:18:00,in transit,2025-01-10T14:58:00,delay due to adverse weather conditions,2025-01-10T15:40:00,in transit,2025-01-11T00:08:00,delivery scheduled for a future date,2025-01-11T00:08:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e0885,1Z7E524X0491426710,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-18T21:40:10,shipment manifested,2024-12-19T11:59:00,shipment dropped off awaiting carrier collection,2024-12-19T11:59:41,shipment dropped off awaiting carrier collection,2024-12-19T16:32:30,shipment collected,2024-12-19T17:50:26,in transit,2024-12-19T18:30:00,in transit,2024-12-19T20:06:00,in transit,2024-12-19T20:18:41,export scan,2024-12-19T22:48:00,in transit,2024-12-20T00:01:00,in transit,2024-12-20T03:20:00,in transit,2024-12-21T13:20:33,delivery delayed due to a traffic related issue,2024-12-21T13:21:15,delivery delayed due to a traffic related issue,2024-12-23T12:34:54,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e1684,1Z61A84F0403437023,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-09T11:13:11,shipment manifested,2025-01-09T11:55:00,shipment dropped off awaiting carrier collection,2025-01-09T11:55:07,shipment dropped off awaiting carrier collection,2025-01-09T12:34:06,shipment collected,2025-01-09T16:12:54,in transit,2025-01-09T18:58:00,in transit,2025-01-09T21:18:00,in transit,2025-01-09T21:52:10,export scan,2025-01-09T22:53:00,in transit,2025-01-09T23:56:00,in transit,2025-01-10T14:18:00,in transit,2025-01-10T14:58:00,delay due to adverse weather conditions,2025-01-11T00:06:00,delivery scheduled for a future date,2025-01-11T00:06:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e1c4c,1Z7E524X0499728862,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-08T13:44:38,shipment manifested,2025-01-09T12:59:00,shipment dropped off awaiting carrier collection,2025-01-09T12:59:14,shipment dropped off awaiting carrier collection,2025-01-09T14:10:42,shipment collected,2025-01-09T18:02:41,in transit,2025-01-09T19:15:00,in transit,2025-01-09T21:20:00,in transit,2025-01-09T21:35:52,export scan,2025-01-09T22:33:00,in transit,2025-01-09T23:51:00,in transit,2025-01-10T14:18:00,in transit,2025-01-10T14:58:00,delay due to adverse weather conditions,2025-01-11T00:06:00,delivery scheduled for a future date,2025-01-11T00:06:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439e2403,1Z61A84F0420978309,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-09T09:17:56,shipment manifested,2025-01-09T10:57:00,shipment dropped off awaiting carrier collection,2025-01-09T10:57:10,shipment dropped off awaiting carrier collection,2025-01-09T11:42:32,shipment collected,2025-01-09T17:34:23,in transit,2025-01-09T19:02:00,in transit,2025-01-09T20:55:00,in transit,2025-01-09T21:13:20,export scan,2025-01-09T22:53:00,in transit,2025-01-09T23:56:00,in transit,2025-01-10T14:25:00,in transit,2025-01-10T14:58:00,delay due to adverse weather conditions,2025-01-11T00:06:00,delivery scheduled for a future date,2025-01-11T00:06:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,
67d7c10b380fe7c6439e9139,1Z61A84F0439210530,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-22T23:59:07,shipment manifested,2024-12-23T16:48:54,shipment collected,2024-12-23T18:56:54,additional information required for customs clearance,2024-12-23T18:56:58,internal activity scan,2024-12-23T19:26:30,in transit,2024-12-23T19:45:00,in transit,2024-12-23T21:09:00,in transit,2024-12-30T22:34:14,warehouse scan,2024-12-31T20:37:55,warehouse scan,2025-01-06T19:08:03,warehouse scan,2025-01-07T19:57:28,export scan,2025-01-07T21:59:00,in transit,2025-01-08T06:33:00,in transit,2025-01-08T07:27:10,in transit,2025-01-08T12:30:00,delay due to adverse weather conditions,2025-01-10T02:14:08,in transit,2025-01-10T12:30:00,delay due to adverse weather conditions,2025-01-10T22:50:00,delivery scheduled for a future date,,,,,,,,,,,,,,
67d7c10b380fe7c6439e9172,1Z7E524X0496766120,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-14T23:52:41,shipment manifested,2025-01-16T14:51:32,shipment collected,2025-01-16T16:17:58,in transit,2025-01-16T19:41:00,in transit,2025-01-16T20:48:00,in transit,2025-01-16T21:16:05,export scan,2025-01-16T22:41:00,in transit,2025-01-16T23:50:00,in transit,2025-01-17T03:00:00,in transit,2025-01-17T06:18:00,released by customs. clearance complete.,2025-01-17T10:35:00,in transit,2025-01-17T12:10:00,in transit,2025-01-17T14:38:00,in transit,2025-01-17T14:53:00,delay due to flight cancelled or delayed,2025-01-17T15:34:07,awaiting release from customs,2025-01-17T15:34:07,additional information required for customs clearance,2025-01-17T16:43:00,in transit,2025-01-17T20:49:00,delivery scheduled for a future date,,,,,,,,,,,,,,
67d7c10b380fe7c6439e9262,1Z7E524X0496072950,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-16T09:40:53,shipment manifested,2024-12-16T10:16:00,shipment dropped off awaiting carrier collection,2024-12-16T10:16:47,shipment dropped off awaiting carrier collection,2024-12-16T18:36:01,shipment collected,2024-12-16T20:16:01,in transit,2024-12-16T20:21:00,in transit,2024-12-16T21:40:00,in transit,2024-12-16T22:07:59,export scan,2024-12-16T22:53:00,in transit,2024-12-16T23:57:00,in transit,2024-12-21T21:00:00,in transit,2024-12-22T11:14:28,delivery scheduled for a future date,2024-12-22T17:18:02,in transit,2024-12-23T08:48:32,in transit,2024-12-23T17:06:45,package on hold for delivery,2024-12-24T09:13:18,out for delivery,2024-12-24T18:25:44,1st delivery attempt. receiver not available.,2024-12-26T10:15:02,delivery scheduled for a future date,,,,,,,,,,,,,,
67d7c10b380fe7c6439e976f,1Z7E524X0492427511,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-03T12:46:18,shipment manifested,2025-01-03T16:02:04,shipment collected,2025-01-03T17:08:43,in transit,2025-01-03T19:25:00,in transit,2025-01-03T21:47:00,in transit,2025-01-07T21:48:00,in transit,2025-01-07T23:07:00,in transit,2025-01-08T21:05:00,in transit,2025-01-08T23:06:57,warehouse scan,2025-01-09T13:00:00,in transit,2025-01-09T13:00:00,in transit,2025-01-10T10:52:20,in transit,2025-01-10T10:52:20,in transit,2025-01-10T10:52:21,in transit,2025-01-10T10:52:21,in transit,2025-01-10T11:08:09,clearance has been delayed by customs or other government agency,2025-01-10T11:08:09,clearance has been delayed by customs or other government agency,2025-01-13T08:18:28,delivery scheduled for a future date,,,,,,,,,,,,,,
67d7c10b380fe7c6439ea5c5,1Z61A84F0439210530,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-22T23:59:07,shipment manifested,2024-12-23T16:48:54,shipment collected,2024-12-23T18:56:54,additional information required for customs clearance,2024-12-23T18:56:58,internal activity scan,2024-12-23T19:26:30,in transit,2024-12-23T19:45:00,in transit,2024-12-23T21:09:00,in transit,2024-12-30T22:34:14,warehouse scan,2024-12-31T20:37:55,warehouse scan,2025-01-06T19:08:03,warehouse scan,2025-01-07T19:57:28,export scan,2025-01-07T21:59:00,in transit,2025-01-08T06:33:00,in transit,2025-01-08T07:27:10,in transit,2025-01-08T12:30:00,delay due to adverse weather conditions,2025-01-10T02:14:08,in transit,2025-01-10T12:30:00,delay due to adverse weather conditions,2025-01-10T22:50:00,delivery scheduled for a future date,2025-01-10T22:50:00,delivery scheduled for a future date,,,,,,,,,,,,
67d7c10b380fe7c6439ea5f7,1Z7E524X0496766120,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-14T23:52:41,shipment manifested,2025-01-16T14:51:32,shipment collected,2025-01-16T16:17:58,in transit,2025-01-16T19:41:00,in transit,2025-01-16T20:48:00,in transit,2025-01-16T21:16:05,export scan,2025-01-16T22:41:00,in transit,2025-01-16T23:50:00,in transit,2025-01-17T03:00:00,in transit,2025-01-17T06:18:00,released by customs. clearance complete.,2025-01-17T10:35:00,in transit,2025-01-17T12:10:00,in transit,2025-01-17T14:38:00,in transit,2025-01-17T14:53:00,delay due to flight cancelled or delayed,2025-01-17T15:34:07,awaiting release from customs,2025-01-17T15:34:07,additional information required for customs clearance,2025-01-17T16:43:00,in transit,2025-01-17T20:49:00,delivery scheduled for a future date,2025-01-17T20:49:00,delivery scheduled for a future date,,,,,,,,,,,,
67d7c10b380fe7c6439eab1c,1Z7E524X0492427511,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-03T12:46:18,shipment manifested,2025-01-03T16:02:04,shipment collected,2025-01-03T17:08:43,in transit,2025-01-03T19:25:00,in transit,2025-01-03T21:47:00,in transit,2025-01-07T21:48:00,in transit,2025-01-07T23:07:00,in transit,2025-01-08T21:05:00,in transit,2025-01-08T23:06:57,warehouse scan,2025-01-09T13:00:00,in transit,2025-01-09T13:00:00,in transit,2025-01-10T10:52:20,in transit,2025-01-10T10:52:20,in transit,2025-01-10T10:52:21,in transit,2025-01-10T10:52:21,in transit,2025-01-10T11:08:09,clearance has been delayed by customs or other government agency,2025-01-10T11:08:09,clearance has been delayed by customs or other government agency,2025-01-13T08:18:28,delivery scheduled for a future date,2025-01-13T08:18:28,delivery scheduled for a future date,,,,,,,,,,,,
67d7c10b380fe7c6439eb767,1Z61A84F0439210530,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-22T23:59:07,shipment manifested,2024-12-23T16:48:54,shipment collected,2024-12-23T18:56:54,additional information required for customs clearance,2024-12-23T18:56:58,internal activity scan,2024-12-23T19:26:30,in transit,2024-12-23T19:45:00,in transit,2024-12-23T21:09:00,in transit,2024-12-30T22:34:14,warehouse scan,2024-12-31T20:37:55,warehouse scan,2025-01-06T19:08:03,warehouse scan,2025-01-07T19:57:28,export scan,2025-01-07T21:59:00,in transit,2025-01-08T06:33:00,in transit,2025-01-08T07:27:10,in transit,2025-01-08T12:30:00,delay due to adverse weather conditions,2025-01-10T02:14:08,in transit,2025-01-10T12:30:00,delay due to adverse weather conditions,2025-01-10T22:50:00,delivery scheduled for a future date,2025-01-10T22:50:00,delivery scheduled for a future date,2025-01-10T23:00:00,delivery scheduled for a future date,,,,,,,,,,
67d7c10c380fe7c6439ee7ed,1Z61A84F0427474251,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-12T13:23:44,shipment manifested,2025-01-14T16:39:33,in transit,2025-01-14T17:02:45,awaiting release from customs,2025-01-14T18:49:00,in transit,2025-01-14T20:09:00,in transit,2025-01-14T20:16:40,internal activity scan,2025-01-14T20:33:50,export scan,2025-01-14T22:42:00,in transit,2025-01-15T03:00:00,in transit,2025-01-15T05:14:11,awaiting release from customs,2025-01-15T05:14:11,clearance has been delayed by customs or other government agency,2025-01-15T10:38:00,in transit,2025-01-15T11:26:58,in transit,2025-01-15T13:38:59,warehouse scan,2025-01-16T10:09:27,warehouse scan,2025-01-16T12:56:48,internal activity scan,2025-01-16T12:56:48,clearance has been delayed by customs or other government agency,2025-01-16T12:58:25,released by customs. clearance complete.,2025-01-17T10:04:10,warehouse scan,2025-01-17T12:25:00,in transit,2025-01-17T14:53:00,delay due to flight cancelled or delayed,2025-01-17T16:42:00,in transit,2025-01-17T18:00:00,out for delivery,2025-01-17T20:49:00,delivery scheduled for a future date,,
67d7c10c380fe7c6439eef3e,1Z61A84F0427474251,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-12T13:23:44,shipment manifested,2025-01-14T16:39:33,in transit,2025-01-14T17:02:45,awaiting release from customs,2025-01-14T18:49:00,in transit,2025-01-14T20:09:00,in transit,2025-01-14T20:16:40,internal activity scan,2025-01-14T20:33:50,export scan,2025-01-14T22:42:00,in transit,2025-01-15T03:00:00,in transit,2025-01-15T05:14:11,awaiting release from customs,2025-01-15T05:14:11,clearance has been delayed by customs or other government agency,2025-01-15T10:38:00,in transit,2025-01-15T11:26:58,in transit,2025-01-15T13:38:59,warehouse scan,2025-01-16T10:09:27,warehouse scan,2025-01-16T12:56:48,internal activity scan,2025-01-16T12:56:48,clearance has been delayed by customs or other government agency,2025-01-16T12:58:25,released by customs. clearance complete.,2025-01-17T10:04:10,warehouse scan,2025-01-17T12:25:00,in transit,2025-01-17T14:53:00,delay due to flight cancelled or delayed,2025-01-17T16:42:00,in transit,2025-01-17T18:00:00,out for delivery,2025-01-17T20:49:00,delivery scheduled for a future date,2025-01-17T20:49:00,delivery scheduled for a future date
67d7c107380fe7c6439bccea,1Z61A84F0424759619,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-16T22:50:00,in transit,2025-01-17T00:06:00,in transit,2025-01-17T14:38:00,in transit,2025-01-17T14:53:00,delay due to flight cancelled or delayed,2025-01-17T20:49:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c108380fe7c6439c364d,1Z61A84F0424759619,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-16T22:50:00,in transit,2025-01-17T00:06:00,in transit,2025-01-17T14:38:00,in transit,2025-01-17T14:53:00,delay due to flight cancelled or delayed,2025-01-17T20:49:00,delivery scheduled for a future date,2025-01-17T20:49:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c108380fe7c6439c9bbf,1Z61A84F0424759619,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-16T22:50:00,in transit,2025-01-17T00:06:00,in transit,2025-01-17T14:38:00,in transit,2025-01-17T14:53:00,delay due to flight cancelled or delayed,2025-01-17T20:49:00,delivery scheduled for a future date,2025-01-17T20:49:00,delivery scheduled for a future date,2025-01-17T20:49:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439cf292,1Z61A84F0424759619,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-16T22:50:00,in transit,2025-01-17T00:06:00,in transit,2025-01-17T14:38:00,in transit,2025-01-17T14:53:00,delay due to flight cancelled or delayed,2025-01-17T20:49:00,delivery scheduled for a future date,2025-01-17T20:49:00,delivery scheduled for a future date,2025-01-17T20:49:00,delivery scheduled for a future date,2025-01-17T20:49:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d054a,1Z7E524X0494492367,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-13T17:37:55,shipment manifested,2025-01-14T13:08:16,shipment collected,2025-01-14T18:14:20,in transit,2025-01-15T19:48:32,export scan,2025-01-15T20:55:00,in transit,2025-01-16T05:57:00,in transit,2025-01-17T15:53:45,in transit,2025-01-17T17:07:41,out for delivery,2025-01-17T19:14:00,delivery scheduled for a future date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
